DC024,DC205,DC214,DC220,DC235,DC109,DC142a,DC201
12.0,12.0,35.0,47.0,1.0,11.0,42.0,1.0
12.0,12.0,35.0,33.0,1.0,11.0,160.0,1.0
12.0,12.0,36.0,54.0,1.0,11.0,48.0,0.0
12.0,12.0,34.0,30.0,1.0,11.0,90.0,1.0
12.0,12.0,35.0,49.0,1.0,11.0,48.0,1.0
12.0,12.0,35.0,48.0,1.0,11.0,96.0,1.0
12.0,12.0,36.0,38.0,2.0,11.0,36.0,1.0
12.0,12.0,35.0,51.0,1.0,11.0,150.0,1.0
12.0,12.0,35.0,38.0,2.0,11.0,30.0,1.0
12.0,16.0,35.0,70.0,3.0,12.0,35.0,1.0
12.0,12.0,36.0,41.0,1.0,11.0,63.0,1.0
12.0,12.0,36.0,46.0,3.0,11.0,48.0,1.0
12.0,12.0,36.0,40.0,1.0,11.0,42.0,1.0
12.0,12.0,35.0,55.0,1.0,11.0,91.0,1.0
12.0,12.0,35.0,61.0,1.0,11.0,84.0,1.0
12.0,12.0,36.0,30.0,1.0,11.0,16.0,1.0
12.0,12.0,35.0,31.0,2.0,11.0,78.0,1.0
12.0,12.0,35.0,33.0,1.0,11.0,36.0,1.0
12.0,12.0,35.0,40.0,1.0,11.0,60.0,1.0
12.0,12.0,35.0,37.0,3.0,11.0,54.0,1.0
12.0,12.0,36.0,59.0,1.6213761187898443,11.0,48.0,1.0
12.0,12.0,36.0,51.0,3.0,11.0,84.0,1.0
12.0,31.0,31.0,64.0,2.0,51.0,49.0,1.0
12.0,16.0,32.0,53.0,2.0,12.0,48.0,1.0
12.0,12.0,35.0,35.0,3.0,11.0,60.0,1.0
12.0,12.0,35.0,51.0,2.0,11.0,56.0,1.0
12.0,12.0,31.0,52.0,2.0,11.0,49.0,1.0
12.0,16.0,31.0,51.0,1.0,12.0,60.0,1.0
12.0,16.0,36.0,34.0,2.0,12.0,60.0,1.0
12.0,16.0,35.0,65.0,2.0,12.0,54.0,1.0
12.0,12.0,31.0,48.0,1.0,11.0,48.0,1.0
12.0,12.0,35.0,55.0,1.0,11.0,200.0,1.0
12.0,16.0,36.0,85.0,1.0,12.0,375.0,1.0
12.0,21.0,36.0,47.0,3.0,41.0,24.0,1.0
12.0,12.0,35.0,46.0,1.0,11.0,84.0,1.0
12.0,12.0,35.0,62.0,2.0,11.0,40.0,1.0
12.0,12.0,36.0,36.0,1.0,11.0,30.0,1.0
12.0,12.0,36.0,33.0,2.0,11.0,36.0,1.0
12.0,12.0,35.0,50.0,2.0,11.0,400.0,1.0
12.0,16.0,35.0,49.0,2.0,12.0,36.0,1.0
12.0,12.0,36.0,77.0,1.0,11.0,90.0,1.0
12.0,17.0,35.0,53.0,2.0,21.0,36.0,1.0
12.0,12.0,35.0,44.0,1.0,11.0,70.0,1.0
12.0,12.0,35.0,37.0,2.0,11.0,112.0,1.0
12.0,12.0,35.0,58.0,2.0,11.0,54.0,1.0
12.0,12.0,36.0,78.0,1.0,11.0,96.0,1.0
12.0,12.0,23.0,37.0,2.0,11.0,54.0,1.0
12.0,12.0,32.0,62.0,3.0,11.0,42.0,1.0
12.0,12.0,35.0,40.0,3.0,11.0,72.0,1.0
12.0,12.0,23.0,44.0,1.0,11.0,119.0,1.0
12.0,12.0,35.0,59.0,2.0,11.0,50.0,1.0
12.0,12.0,35.0,54.0,1.0,11.0,84.0,1.0
12.0,21.0,36.0,47.0,1.0,41.0,54.0,1.0
12.0,12.0,35.0,35.0,2.0,11.0,60.0,1.0
12.0,12.0,24.0,38.0,1.0,11.0,56.0,1.0
12.0,12.0,35.0,37.0,1.0,11.0,78.0,1.0
12.0,12.0,36.0,43.0,1.0,11.0,200.0,1.0
12.0,12.0,24.0,79.0,1.0,11.0,80.0,1.0
12.0,12.0,31.0,59.0,1.0,11.0,42.0,1.0
12.0,12.0,31.0,76.0,1.5580694423131338,11.0,80.0,1.0
12.0,12.0,35.0,44.0,1.0,11.0,56.0,1.0
12.0,12.0,36.0,51.0,1.0,11.0,54.0,1.0
12.0,12.0,31.0,38.0,2.0,11.0,60.0,1.0
12.0,12.0,35.0,65.0,2.0,11.0,36.0,1.0
12.0,12.0,31.0,53.0,1.0,11.0,63.0,1.0
12.0,12.0,32.0,39.0,2.0,11.0,84.0,1.0
12.0,12.0,24.0,65.0,2.0,11.0,91.0,1.0
12.0,12.0,35.0,65.0,2.0,11.0,102.0,1.0
12.0,12.0,35.0,41.0,1.0,11.0,84.0,1.0
12.0,12.0,36.0,33.0,1.0,11.0,40.0,1.0
12.0,21.0,36.0,47.0,3.0,41.0,35.0,0.0
12.0,31.0,35.0,55.0,3.0,51.0,40.0,0.0
12.0,31.0,32.0,44.0,3.0,51.0,45.0,0.0
12.0,31.0,36.0,49.0,3.0,51.0,40.0,0.0
12.0,31.0,36.0,42.0,3.0,51.0,56.0,0.0
12.0,21.0,32.0,34.0,1.0,41.0,72.0,0.0
12.0,31.0,36.0,32.0,3.0,51.0,48.0,0.0
12.0,21.0,35.0,45.0,3.0,41.0,72.0,0.0
12.0,12.0,36.0,39.0,2.0,11.0,28.0,1.0
12.0,16.0,35.0,35.0,3.0,12.0,30.0,0.0
12.0,12.0,35.0,30.0,1.0,11.0,56.0,1.0
12.0,21.0,36.0,59.0,3.0,41.0,48.0,0.0
12.0,31.0,36.0,28.0,3.0,51.0,48.0,0.0
12.0,12.0,36.0,57.0,3.0,11.0,35.0,0.0
12.0,21.0,35.0,54.0,3.0,41.0,63.0,0.0
12.0,21.0,35.0,69.0,2.0,41.0,42.0,1.0
12.0,31.0,36.0,42.0,3.0,51.0,30.0,0.0
12.0,12.0,36.0,30.0,2.0,11.0,35.0,1.0
12.0,21.0,36.0,50.0,3.0,41.0,48.0,0.0
12.0,31.0,34.0,27.0,2.0,51.0,36.0,0.0
12.0,31.0,36.0,65.0,3.0,51.0,15.0,0.0
12.0,21.0,36.0,32.0,1.0,41.0,86.0,0.0
12.0,21.0,36.0,43.0,3.0,41.0,40.0,0.0
12.0,31.0,36.0,47.0,3.0,51.0,42.0,0.0
12.0,21.0,36.0,50.0,3.0,41.0,36.0,0.0
12.0,31.0,36.0,41.0,3.0,51.0,30.0,0.0
12.0,31.0,36.0,50.0,3.0,51.0,36.0,0.0
12.0,31.0,23.0,30.0,3.0,31.0,56.0,0.0
12.0,21.0,35.0,46.0,3.0,41.0,42.0,0.0
12.0,21.0,36.0,38.0,3.0,41.0,24.0,0.0
12.0,21.0,36.0,45.0,3.0,41.0,40.0,0.0
12.0,21.0,36.0,47.0,3.0,41.0,36.0,0.0
12.0,21.0,36.0,37.0,3.0,41.0,42.0,0.0
12.0,31.0,12.0,47.0,3.0,51.0,20.0,0.0
12.0,31.0,36.0,60.0,3.0,31.0,35.0,0.0
12.0,21.0,36.0,43.0,3.0,41.0,30.0,0.0
12.0,21.0,36.0,45.0,3.0,41.0,72.0,0.0
12.0,31.0,21.0,60.0,3.0,51.0,20.0,0.0
12.0,31.0,12.0,67.0,3.0,51.0,35.0,0.0
12.0,31.0,36.0,37.0,3.0,51.0,30.0,0.0
12.0,31.0,36.0,35.0,3.0,31.0,12.0,0.0
12.0,12.0,35.0,38.0,2.0,11.0,128.0,1.0
12.0,12.0,36.0,41.0,2.0,11.0,35.0,1.0
12.0,16.0,35.0,34.0,2.0,12.0,49.0,1.0
12.0,12.0,36.0,75.0,2.0,11.0,63.0,1.0
12.0,12.0,35.0,40.0,1.0,11.0,100.0,1.0
12.0,12.0,36.0,50.0,2.0,11.0,140.0,1.0
12.0,12.0,35.0,59.0,2.0,11.0,154.0,1.0
12.0,12.0,35.0,64.0,2.0,11.0,80.0,1.0
12.0,16.0,36.0,52.0,1.0,12.0,42.0,1.0
12.0,31.0,35.0,42.0,3.0,51.0,40.0,0.0
12.0,12.0,35.0,39.0,1.0,11.0,90.0,1.0
12.0,31.0,36.0,33.0,2.531165938776597,51.0,60.0,0.0
12.0,12.0,36.0,47.0,2.0,11.0,60.0,1.0
12.0,12.0,35.0,53.0,1.0,11.0,187.0,1.0
12.0,12.0,35.0,38.0,2.0,11.0,50.0,1.0
12.0,12.0,35.0,51.0,1.0,11.0,90.0,1.0
12.0,12.0,35.0,57.0,2.0,11.0,42.0,1.0
12.0,12.0,35.0,39.0,1.0,11.0,84.0,1.0
12.0,12.0,35.0,48.0,3.0,11.0,90.0,1.0
12.0,12.0,35.0,41.0,1.0,11.0,65.0,0.0
12.0,12.0,35.0,36.0,1.7860387151068138,11.0,70.0,1.0
12.0,12.0,36.0,43.0,1.8897407135228157,11.0,60.0,1.0
12.0,12.0,36.0,48.0,1.9274127182991896,11.0,35.0,1.0
12.0,16.0,36.0,26.0,2.1599056169032806,12.0,30.0,1.0
12.0,12.0,36.0,55.0,3.0,11.0,91.0,0.0
12.0,31.0,36.0,53.0,1.0,51.0,24.0,0.0
12.0,16.0,36.0,54.0,1.0,12.0,49.0,0.0
12.0,12.0,35.0,33.0,1.0,11.0,30.0,1.0
12.0,12.0,36.0,32.0,2.035721535520871,11.0,40.0,1.0
12.0,12.0,36.0,50.0,1.9532453948738864,11.0,50.0,1.0
12.0,12.0,36.0,25.0,1.0,11.0,50.0,1.0
12.0,12.0,36.0,38.0,1.0,11.0,45.0,1.0
12.0,12.0,36.0,44.0,1.0,11.0,35.0,1.0
12.0,12.0,36.0,55.0,1.852665041172752,11.0,72.0,1.0
12.0,12.0,36.0,36.0,1.0,11.0,20.0,1.0
12.0,12.0,36.0,46.0,1.0,11.0,48.0,1.0
12.0,31.0,12.0,32.0,3.0,51.0,16.0,1.0
12.0,17.0,35.0,54.0,1.0,21.0,70.0,1.0
12.0,12.0,35.0,31.0,1.0,11.0,72.0,1.0
12.0,12.0,35.0,49.0,1.0,11.0,78.0,1.0
12.0,12.0,35.0,34.0,1.0,11.0,104.0,1.0
12.0,17.0,35.0,48.0,1.0,21.0,84.0,1.0
12.0,12.0,35.0,29.0,1.0,11.0,72.0,1.0
12.0,17.0,36.0,31.0,1.0,21.0,54.0,1.0
12.0,12.0,35.0,53.0,1.0,11.0,81.0,1.0
12.0,12.0,35.0,52.0,1.0,11.0,72.0,1.0
12.0,12.0,35.0,38.0,1.0,11.0,70.0,1.0
12.0,12.0,35.0,27.0,1.0,11.0,72.0,1.0
12.0,12.0,35.0,36.0,1.0,11.0,72.0,1.0
12.0,12.0,35.0,34.0,1.0,11.0,72.0,1.0
12.0,12.0,35.0,25.0,1.0,11.0,81.0,1.0
12.0,12.0,36.0,49.0,2.0,11.0,56.0,1.0
12.0,12.0,36.0,42.0,3.0,11.0,81.0,0.0
12.0,17.0,35.0,49.0,1.0,21.0,108.0,1.0
12.0,12.0,35.0,31.0,2.0,11.0,90.0,1.0
12.0,17.0,35.0,29.0,1.0,21.0,108.0,1.0
12.0,12.0,35.0,40.0,2.0,11.0,90.0,1.0
12.0,12.0,36.0,53.0,2.0,11.0,40.0,1.0
12.0,17.0,32.0,33.0,1.0,21.0,108.0,1.0
12.0,17.0,35.0,38.0,2.0,21.0,108.0,1.0
12.0,17.0,36.0,29.0,3.0,21.0,72.0,1.0
12.0,12.0,35.0,75.0,1.0,11.0,98.0,1.0
12.0,21.0,36.0,51.0,3.0,41.0,48.0,1.0
12.0,17.0,35.0,70.0,3.0,21.0,125.0,1.0
12.0,12.0,35.0,30.0,1.0,11.0,210.0,1.0
12.0,31.0,36.0,46.0,3.0,31.0,108.0,1.0
12.0,31.0,23.0,64.0,3.0,31.0,25.0,1.0
12.0,31.0,23.0,62.0,3.0,31.0,36.0,1.0
12.0,12.0,35.0,52.0,1.0,11.0,140.0,1.0
12.0,12.0,35.0,64.0,3.0,11.0,100.0,1.0
12.0,12.0,36.0,59.0,3.0,11.0,60.0,1.0
12.0,12.0,35.0,40.0,1.0,11.0,150.0,1.0
12.0,31.0,31.0,63.0,3.0,31.0,15.0,1.0
12.0,12.0,35.0,50.0,1.0,11.0,70.0,1.0
12.0,12.0,35.0,37.0,3.0,11.0,60.0,1.0
12.0,17.0,31.0,44.0,3.0,21.0,25.0,1.0
12.0,12.0,35.0,56.0,3.0,11.0,70.0,1.0
12.0,31.0,31.0,36.0,3.0,31.0,66.0,1.0
12.0,12.0,23.0,33.0,3.0,11.0,30.0,1.0
12.0,12.0,23.0,40.0,1.0,11.0,75.0,1.0
12.0,31.0,35.0,34.0,1.0,31.0,100.0,1.0
12.0,12.0,35.0,56.0,1.0,11.0,95.0,1.0
12.0,12.0,35.0,48.0,1.0,11.0,350.0,1.0
12.0,31.0,36.0,39.0,2.0,31.0,72.0,1.0
12.0,17.0,23.0,40.0,3.0,21.0,48.0,1.0
12.0,12.0,35.0,60.0,1.0,11.0,80.0,1.0
12.0,12.0,35.0,65.0,2.0,11.0,72.0,1.0
12.0,12.0,23.0,60.0,3.0,11.0,40.0,1.0
12.0,12.0,36.0,60.0,1.0,11.0,120.0,1.0
12.0,12.0,36.0,59.0,3.0,11.0,24.0,1.0
12.0,12.0,35.0,43.0,1.0,11.0,60.0,1.0
12.0,12.0,35.0,43.0,2.0,11.0,105.0,1.0
12.0,12.0,31.0,51.0,1.0,11.0,30.0,1.0
12.0,12.0,35.0,51.0,2.0,11.0,65.0,1.0
12.0,12.0,32.0,36.0,2.0,11.0,80.0,1.0
12.0,12.0,35.0,25.0,3.0,11.0,140.0,1.0
12.0,12.0,23.0,41.0,1.6301341224930253,11.0,66.0,1.0
12.0,31.0,35.0,44.0,1.0,31.0,120.0,1.0
12.0,12.0,35.0,47.0,2.0,11.0,78.0,1.0
12.0,12.0,23.0,57.0,1.0,11.0,84.0,1.0
12.0,12.0,35.0,72.0,1.0,11.0,120.0,1.0
12.0,12.0,35.0,55.0,1.0,11.0,120.0,1.0
12.0,12.0,35.0,56.0,1.0,11.0,135.0,1.0
12.0,12.0,35.0,72.0,2.0,11.0,96.0,1.0
12.0,12.0,35.0,52.0,2.0,11.0,66.0,1.0
12.0,12.0,23.0,62.0,1.0,11.0,96.0,1.0
12.0,12.0,32.0,65.0,2.0,11.0,90.0,1.0
12.0,16.0,31.0,47.0,2.0,12.0,96.0,0.0
12.0,12.0,35.0,37.0,1.4686706930096856,11.0,128.0,1.0
12.0,12.0,31.0,35.0,1.0,11.0,108.0,1.0
12.0,12.0,35.0,46.0,2.0,11.0,42.0,1.0
12.0,12.0,31.0,72.0,2.0,11.0,48.0,1.0
12.0,12.0,23.0,66.0,1.0,11.0,60.0,0.0
12.0,12.0,32.0,41.0,1.0,11.0,98.0,1.0
12.0,12.0,35.0,54.0,1.0,11.0,48.0,1.0
12.0,12.0,35.0,58.0,1.0,11.0,120.0,1.0
12.0,12.0,35.0,34.0,2.0,11.0,91.0,1.0
12.0,12.0,35.0,42.0,2.0,11.0,40.0,1.0
12.0,12.0,36.0,37.0,1.0,11.0,105.0,1.0
12.0,12.0,35.0,44.0,1.0,11.0,72.0,1.0
12.0,12.0,35.0,68.0,1.0,11.0,135.0,1.0
12.0,12.0,35.0,55.0,2.0,11.0,72.0,1.0
12.0,12.0,35.0,51.0,1.0,11.0,70.0,1.0
12.0,17.0,35.0,42.0,1.0,21.0,48.0,1.0
12.0,17.0,36.0,33.0,1.0,21.0,50.0,1.0
12.0,12.0,23.0,43.0,2.0,11.0,48.0,1.0
12.0,12.0,35.0,26.0,1.0,11.0,30.0,1.0
12.0,12.0,23.0,37.0,2.0,11.0,70.0,1.0
12.0,12.0,35.0,55.0,1.0,11.0,91.0,1.0
12.0,12.0,35.0,53.0,2.0,11.0,144.0,1.0
12.0,21.0,36.0,53.0,2.0,41.0,66.0,1.0
12.0,12.0,35.0,44.0,3.0,11.0,96.0,1.0
12.0,12.0,35.0,65.0,1.0,11.0,65.0,1.0
12.0,12.0,35.0,46.0,1.0,11.0,180.0,1.0
12.0,12.0,35.0,49.0,1.0,11.0,55.0,1.0
12.0,12.0,36.0,47.0,2.0,11.0,68.0,1.0
12.0,12.0,35.0,42.0,2.0,11.0,98.0,1.0
12.0,12.0,35.0,51.0,1.0,11.0,48.0,1.0
12.0,12.0,35.0,47.0,1.0,11.0,80.0,1.0
12.0,12.0,32.0,34.0,2.0,11.0,80.0,1.0
12.0,12.0,35.0,30.0,2.0,11.0,40.0,1.0
12.0,12.0,35.0,71.0,2.0,11.0,100.0,1.0
12.0,31.0,23.0,49.0,1.0,31.0,32.0,1.0
12.0,12.0,32.0,58.0,1.0,11.0,85.0,1.0
12.0,12.0,35.0,55.0,2.0,11.0,85.0,1.0
12.0,12.0,35.0,55.0,1.0,11.0,84.0,1.0
12.0,31.0,31.0,59.0,2.0,31.0,80.0,1.0
12.0,12.0,35.0,83.0,2.0,11.0,40.0,1.0
12.0,12.0,32.0,56.0,2.0,11.0,75.0,1.0
12.0,12.0,35.0,62.0,2.0,11.0,112.0,1.0
12.0,12.0,35.0,71.0,1.0,11.0,80.0,1.0
12.0,12.0,23.0,44.0,1.0,11.0,50.0,1.0
12.0,12.0,35.0,51.0,1.0,11.0,90.0,1.0
12.0,12.0,35.0,72.0,1.0,11.0,100.0,1.0
12.0,12.0,32.0,45.0,1.0,11.0,102.0,1.0
12.0,12.0,23.0,47.0,1.0,11.0,70.0,1.0
12.0,12.0,35.0,37.0,2.0,11.0,105.0,1.0
12.0,21.0,23.0,35.0,1.0,41.0,60.0,1.0
12.0,21.0,31.0,48.0,1.0,41.0,60.0,1.0
12.0,12.0,35.0,71.0,1.0,11.0,50.0,1.0
12.0,12.0,35.0,41.0,1.0,11.0,100.0,1.0
12.0,12.0,36.0,36.0,1.0,11.0,55.0,1.0
12.0,12.0,32.0,52.0,2.0,11.0,91.0,1.0
12.0,12.0,23.0,39.0,2.0,11.0,49.0,1.0
12.0,12.0,35.0,55.0,1.0,11.0,90.0,1.0
12.0,12.0,35.0,64.0,1.0,11.0,84.0,1.0
12.0,12.0,35.0,35.0,2.0,11.0,63.0,1.0
12.0,12.0,35.0,47.0,1.0,11.0,54.0,1.0
12.0,12.0,32.0,55.0,2.0,11.0,56.0,1.0
12.0,12.0,35.0,38.0,1.0,11.0,72.0,1.0
12.0,12.0,35.0,34.0,2.0,11.0,65.0,1.0
12.0,21.0,31.0,42.0,2.0,41.0,42.0,1.0
12.0,31.0,36.0,60.0,3.0,31.0,84.0,0.0
12.0,31.0,36.0,47.0,3.0,31.0,42.0,0.0
12.0,31.0,36.0,56.0,1.0,31.0,56.0,1.0
12.0,31.0,36.0,30.0,1.0,31.0,60.0,1.0
12.0,31.0,36.0,57.0,3.0,31.0,20.0,1.0
12.0,12.0,32.0,40.0,1.0,11.0,135.0,1.0
12.0,31.0,35.0,78.0,3.0,31.0,84.0,0.0
12.0,31.0,36.0,43.0,3.0,31.0,42.0,0.0
12.0,31.0,23.0,37.0,3.0,31.0,36.0,0.0
12.0,31.0,23.0,37.0,3.0,31.0,33.0,1.0
12.0,31.0,35.0,43.0,3.0,31.0,50.0,0.0
12.0,31.0,36.0,53.0,3.0,31.0,64.0,0.0
12.0,31.0,36.0,62.0,3.0,31.0,35.0,1.0
12.0,31.0,36.0,55.0,3.0,31.0,30.0,1.0
12.0,31.0,35.0,55.0,3.0,31.0,24.0,0.0
12.0,12.0,35.0,62.0,1.0,11.0,88.0,1.0
12.0,31.0,36.0,43.0,3.0,31.0,48.0,1.0
12.0,31.0,36.0,26.0,3.0,31.0,24.0,0.0
12.0,31.0,23.0,46.0,3.0,31.0,42.0,0.0
12.0,12.0,35.0,52.0,1.0,11.0,60.0,1.0
12.0,12.0,35.0,32.0,2.0,11.0,42.0,0.0
12.0,31.0,36.0,42.0,3.0,31.0,66.0,0.0
12.0,31.0,36.0,39.0,2.0,31.0,72.0,0.0
12.0,31.0,36.0,42.0,3.0,31.0,108.0,0.0
12.0,12.0,36.0,39.0,1.0,11.0,104.0,1.0
12.0,12.0,35.0,38.0,1.0,11.0,105.0,1.0
12.0,12.0,23.0,42.0,2.0,11.0,30.0,0.0
12.0,12.0,23.0,72.0,1.0,11.0,140.0,1.0
12.0,17.0,36.0,29.0,1.0,21.0,64.0,1.0
12.0,31.0,36.0,28.0,3.0,31.0,20.0,1.0
12.0,31.0,36.0,33.0,2.0,31.0,48.0,1.0
12.0,12.0,35.0,49.0,2.0,11.0,98.0,1.0
12.0,31.0,36.0,36.0,2.0,31.0,20.0,0.0
12.0,12.0,35.0,48.0,1.0,11.0,120.0,1.0
12.0,12.0,35.0,50.0,1.0,11.0,84.0,1.0
12.0,17.0,23.0,55.0,3.0,21.0,35.0,1.0
12.0,12.0,36.0,67.0,1.0,11.0,48.0,1.0
12.0,12.0,35.0,53.0,3.0,11.0,72.0,1.0
12.0,12.0,36.0,60.0,1.0,11.0,84.0,0.0
12.0,12.0,36.0,49.0,3.0,11.0,70.0,1.0
12.0,12.0,23.0,44.0,1.0,11.0,54.0,1.0
12.0,12.0,36.0,54.0,3.0,11.0,48.0,1.0
12.0,12.0,36.0,74.0,2.0,11.0,80.0,1.0
12.0,31.0,36.0,38.0,2.0,51.0,56.0,1.0
12.0,17.0,36.0,73.0,1.0,21.0,60.0,0.0
12.0,17.0,23.0,52.0,2.0,21.0,20.0,0.0
12.0,31.0,23.0,45.0,2.0,51.0,48.0,0.0
12.0,31.0,23.0,67.0,2.0,31.0,42.0,0.0
12.0,12.0,23.0,65.0,1.0,11.0,78.0,0.0
12.0,17.0,36.0,33.0,3.0,21.0,24.0,0.0
12.0,17.0,36.0,30.0,3.0,21.0,42.0,1.0
12.0,12.0,35.0,33.0,1.0,11.0,105.0,1.0
12.0,31.0,23.0,45.0,3.0,31.0,70.0,0.0
12.0,31.0,36.0,29.0,3.0,31.0,32.0,0.0
12.0,31.0,36.0,53.0,3.0,31.0,35.0,0.0
12.0,31.0,36.0,35.0,3.0,31.0,48.0,0.0
12.0,31.0,35.0,65.0,3.0,31.0,84.0,0.0
12.0,31.0,36.0,39.0,3.0,31.0,42.0,0.0
12.0,12.0,35.0,43.0,3.0,11.0,96.0,0.0
12.0,31.0,36.0,38.0,3.0,31.0,35.0,0.0
12.0,31.0,36.0,32.0,3.0,31.0,80.0,0.0
12.0,12.0,36.0,32.0,1.0,11.0,108.0,1.0
12.0,21.0,36.0,59.0,3.0,41.0,70.0,0.0
12.0,12.0,35.0,51.0,1.0,11.0,72.0,1.0
12.0,12.0,35.0,37.0,2.0,11.0,63.0,1.0
12.0,12.0,36.0,46.0,2.0,11.0,50.0,1.0
12.0,16.0,36.0,49.0,1.0,12.0,50.0,1.0
12.0,12.0,35.0,37.0,2.0,11.0,112.0,1.0
12.0,12.0,35.0,39.0,2.0,11.0,112.0,1.0
12.0,12.0,35.0,47.0,2.0,11.0,60.0,1.0
12.0,12.0,35.0,36.0,1.0,11.0,96.0,1.0
12.0,12.0,35.0,34.0,1.0,11.0,91.0,1.0
12.0,12.0,36.0,52.0,1.0,11.0,60.0,1.0
12.0,16.0,36.0,33.0,1.0,12.0,60.0,1.0
12.0,12.0,36.0,80.0,1.0,11.0,60.0,1.0
12.0,12.0,36.0,40.0,1.0,11.0,80.0,1.0
12.0,12.0,35.0,51.0,1.0,11.0,200.0,1.0
12.0,12.0,36.0,37.0,2.0,11.0,42.0,1.0
12.0,12.0,35.0,38.0,2.0,11.0,112.0,1.0
12.0,12.0,23.0,36.0,2.0,11.0,78.0,1.0
12.0,12.0,23.0,33.0,1.0,11.0,91.0,1.0
12.0,12.0,36.0,57.0,1.0,11.0,100.0,1.0
12.0,16.0,35.0,58.0,2.0,12.0,75.0,1.0
12.0,12.0,35.0,66.0,1.0,11.0,150.0,1.0
12.0,12.0,36.0,53.0,1.0,11.0,56.0,1.0
12.0,12.0,35.0,72.0,1.0,11.0,75.0,1.0
12.0,12.0,35.0,29.0,1.0,11.0,125.0,1.0
12.0,12.0,36.0,53.0,1.0,11.0,40.0,1.0
12.0,12.0,35.0,39.0,1.0,11.0,150.0,1.0
12.0,16.0,35.0,42.0,1.0,12.0,60.0,1.0
12.0,12.0,35.0,47.0,1.0,11.0,60.0,1.0
12.0,12.0,36.0,60.0,1.0,11.0,75.0,1.0
12.0,12.0,35.0,63.0,1.0,11.0,100.0,1.0
12.0,12.0,36.0,67.0,1.0,11.0,60.0,1.0
12.0,12.0,35.0,53.0,1.0,11.0,72.0,1.0
12.0,12.0,36.0,33.0,2.0,11.0,100.0,1.0
12.0,12.0,35.0,53.0,1.0,11.0,60.0,1.0
12.0,12.0,36.0,42.0,1.0,11.0,50.0,1.0
12.0,12.0,32.0,60.0,2.0,11.0,63.0,1.0
12.0,12.0,35.0,54.0,1.0,11.0,85.0,1.0
12.0,12.0,36.0,50.0,1.0,11.0,72.0,1.0
12.0,12.0,36.0,44.0,1.0,11.0,30.0,1.0
12.0,12.0,35.0,67.0,1.0,11.0,78.0,1.0
12.0,12.0,24.0,42.0,2.0,11.0,84.0,1.0
12.0,12.0,35.0,41.0,2.0,11.0,170.0,1.0
12.0,12.0,35.0,63.0,2.0,11.0,42.0,1.0
12.0,12.0,36.0,36.0,1.0,11.0,60.0,1.0
12.0,12.0,23.0,32.0,2.0,11.0,40.0,1.0
12.0,12.0,35.0,47.0,1.0,11.0,60.0,1.0
12.0,12.0,35.0,35.0,1.0,11.0,60.0,1.0
12.0,12.0,36.0,48.0,2.0,11.0,77.0,1.0
12.0,17.0,35.0,52.0,3.0,21.0,18.0,0.0
12.0,21.0,36.0,64.0,3.0,41.0,20.0,0.0
12.0,21.0,36.0,40.0,3.0,41.0,42.0,0.0
12.0,21.0,36.0,48.0,3.0,41.0,20.0,0.0
12.0,21.0,36.0,36.0,3.0,41.0,20.0,0.0
12.0,31.0,36.0,61.0,3.0,31.0,16.0,0.0
12.0,31.0,36.0,40.0,3.0,51.0,42.0,1.0
12.0,21.0,36.0,41.0,3.0,41.0,54.0,0.0
12.0,21.0,36.0,17.0,3.0,41.0,30.0,0.0
12.0,21.0,35.0,75.0,3.0,41.0,36.0,0.0
12.0,21.0,36.0,47.0,3.0,41.0,20.0,0.0
12.0,21.0,35.0,62.0,2.0,41.0,20.0,1.0
12.0,31.0,36.0,57.0,3.0,51.0,28.0,0.0
12.0,31.0,35.0,36.0,3.0,51.0,40.0,0.0
12.0,16.0,36.0,27.0,3.0,12.0,60.0,0.0
12.0,31.0,32.0,55.0,1.0,31.0,50.0,1.0
12.0,31.0,32.0,46.0,1.751820731816089,31.0,32.0,1.0
12.0,16.0,35.0,58.0,1.0,12.0,60.0,1.0
12.0,12.0,36.0,60.0,1.733705859059247,11.0,15.0,1.0
12.0,16.0,35.0,54.0,1.4786924732465203,12.0,60.0,1.0
12.0,16.0,35.0,46.0,1.6776771971100182,12.0,30.0,1.0
12.0,12.0,35.0,62.0,1.0,11.0,40.0,1.0
12.0,16.0,35.0,41.0,1.3961234744710436,12.0,60.0,1.0
12.0,16.0,32.0,34.0,1.594573330216036,12.0,70.0,1.0
12.0,16.0,23.0,54.0,1.0,12.0,28.0,1.0
12.0,16.0,36.0,55.0,1.0,12.0,42.0,1.0
12.0,16.0,36.0,51.0,1.6736136633407814,12.0,66.0,1.0
12.0,16.0,36.0,39.0,1.7146625965097928,12.0,24.0,1.0
12.0,16.0,36.0,51.0,1.5669364598816713,12.0,60.0,1.0
12.0,16.0,35.0,35.0,1.5511571257962908,12.0,40.0,1.0
12.0,16.0,35.0,37.0,1.677621066140452,12.0,32.0,1.0
12.0,16.0,35.0,37.0,1.4447733728317775,12.0,70.0,1.0
12.0,16.0,35.0,38.0,1.6081014033285352,12.0,45.0,1.0
12.0,16.0,35.0,44.0,1.858263071965082,12.0,30.0,1.0
12.0,16.0,23.0,32.0,1.0,12.0,21.0,1.0
12.0,16.0,36.0,33.0,1.6421511939729216,12.0,50.0,1.0
12.0,16.0,23.0,38.0,1.7567599758695165,12.0,25.0,1.0
12.0,12.0,36.0,30.0,1.795921703395427,11.0,21.0,1.0
